supplier_gstin,supplier_name,invoice_no,invoice_date,return_period,taxable_value,cgst,sgst,igst,total_tax,hsn_codes,supplier_status,linked_doc_id,expected_mismatch_type
32PKTXF1224G7ZE,DIXIT PLC,INV/2602/00001,2026-02-01,022026,37804.02,0.0,0.0,6804.73,6804.73,9983;7208;4819,ACTIVE,C02-GSTINV-00241,match
09FDRBD8413J3ZA,CHADA-KOTHARI,INV/2602/00002,2026-02-02,022026,75352.62,0.0,0.0,6553.28,6553.28,1701;8504,ACTIVE,C02-GSTINV-00242,match
08XPDOA9047B7ZX,SAHA PLC,INV/2602/00003,2026-02-03,022026,127566.61,0.0,0.0,10152.35,10152.35,1701;7208;3923,ACTIVE,C02-GSTINV-00243,match
09ELOPZ4171L8Z0,"KARA, VIRK AND RAI",INV/2602/00004,2026-02-04,022026,34880.9,0.0,0.0,6278.56,6278.56,7208,ACTIVE,C02-GSTINV-00244,match
08UCWTB9681L8Z2,SAVANT-MISHRA,INV/2602/00005,2026-02-05,022026,131721.04,0.0,0.0,12006.67,12006.67,2106;1701;3004,ACTIVE,C02-GSTINV-00245,match
06QTTWS7738Q7ZH,"SANGHVI, MODY AND BHASIN",INV/2602/00006,2026-02-06,022026,25356.35,0.0,0.0,4564.15,4564.15,4819,ACTIVE,C02-GSTINV-00246,match
29VMNVX4366C4ZT,"CHAUDHARY, JOHAL AND KAKAR",INV/2602/00007,2026-02-07,022026,7606.67,684.6,684.6,0.0,1369.2,7208,ACTIVE,C02-GSTINV-00247,match
29YAKRY4470G2Z1,BUMB-DUGAR,INV/2602/00008,2026-02-08,022026,63916.12,7316.19,7316.19,0.0,14632.38,8708;9983,ACTIVE,C02-GSTINV-00248,match
36NOLOX3723J1Z9,GHOSE PLC,INV/2602/00009,2026-02-09,022026,94789.99,0.0,0.0,12351.65,12351.65,8504;2106,ACTIVE,C02-GSTINV-00249,match
33UEDZO4327V6ZM,DUGAR INC,INV/2602/00010,2026-02-10,022026,131527.48,0.0,0.0,17243.41,17243.41,8504;8708;1006,ACTIVE,C02-GSTINV-00250,match
06IKVLC0652Y5ZC,BALI-KATA,INV/2602/00012,2026-02-12,022026,47672.1,0.0,0.0,13348.19,13348.19,8708,ACTIVE,C02-GSTINV-00252,match
