supplier_gstin,supplier_name,invoice_no,invoice_date,return_period,taxable_value,cgst,sgst,igst,total_tax,hsn_codes,supplier_status,linked_doc_id,expected_mismatch_type
19HNRMT2775Z1ZZ,BALA-CHACKO,INV/2602/00001,2026-02-01,022026,51994.99,0.0,0.0,8267.17,8267.17,7208;3004,ACTIVE,C02-GSTINV-00181,match
24VFCQN7662U9ZH,"SANGHA, DESHMUKH AND SHENOY",INV/2602/00002,2026-02-02,022026,50899.59,0.0,0.0,2544.98,2544.98,1701,ACTIVE,C02-GSTINV-00182,match
08IDZAZ2140C3Z0,BEDI LLC,INV/2602/00003,2026-02-03,022026,46791.18,0.0,0.0,8422.4,8422.4,4819;8504,ACTIVE,C02-GSTINV-00183,match
01GKOEX2309W4ZO,NARANG-KAKAR,INV/2602/00004,2026-02-04,022026,247124.41,0.0,0.0,25796.86,25796.86,3004;1701,ACTIVE,C02-GSTINV-00184,match
33STODM2306D4ZR,NARAIN-NAZARETH,INV/2602/00005,2026-02-05,022026,24871.85,0.0,0.0,2984.63,2984.63,2106,ACTIVE,C02-GSTINV-00185,match
01PRREU2463Y1Z3,MALL-SAMA,INV/2602/00006,2026-02-06,022026,50037.23,0.0,0.0,6363.15,6363.15,8708;3004,ACTIVE,C02-GSTINV-00186,match
19ULFRJ1844J9ZV,BUMB-SINGHAL,INV/2602/00007,2026-02-07,022026,56301.93,0.0,0.0,11907.92,11907.92,8708;8504,ACTIVE,C02-GSTINV-00187,match
27HGJAQ3108Y4ZK,ZACHARIA INC,INV/2602/00008,2026-02-08,022026,11879.02,0.0,0.0,3326.13,3326.13,8708,ACTIVE,C02-GSTINV-00188,match
09IQCNB8182P4Z6,KAPUR-BISWAS,INV/2602/00009,2026-02-09,022026,139236.2,0.0,0.0,18234.58,18234.58,8504;9983;3004;1006,ACTIVE,C02-GSTINV-00189,match
33BOYKJ7820C5Z4,"BARIA, BALASUBRAMANIAN AND KOTA",INV/2602/00010,2026-02-10,022026,26367.93,0.0,0.0,1318.4,1318.4,1701,ACTIVE,C02-GSTINV-00190,match
33LSPOF7929O7Z0,KHARE AND SONS,INV/2602/00012,2026-02-12,022026,2664.96,0.0,0.0,479.7,479.7,3923,ACTIVE,C02-GSTINV-00192,match
09AZFIU9895S3Z6,CONTRACTOR-KAMDAR,INV/2602/00013,2026-02-13,022026,106669.8,0.0,0.0,19200.56,19200.56,4819;3923;7208,INACTIVE,C02-GSTINV-00193,gstin_status_risk
27EVROX5375C1ZL,KUNDA-PILLAY,INV/2602/00014,2026-02-14,022026,96734.55,0.0,0.0,13086.36,13086.36,7208;3004;9983,ACTIVE,C02-GSTINV-00194,match
33TKLPN2231C8Z3,CONTRACTOR AND SONS,INV/2602/00015,2026-02-15,022026,96259.57,0.0,0.0,15083.87,15083.87,3923;7208;2106;8504,ACTIVE,C02-GSTINV-00195,match
